player_name_id,team_name
Kiernan Dewsbury-Hall,Everton
Kobbie Mainoo,Man Utd
Landon Emenalo,Chelsea
Largie Ramazani,Leeds
Leander Dendoncker,Aston Villa
Leandro Trossard,Arsenal
Leon Bailey,Aston Villa
Lesley Ugochukwu,Burnley
Lewis Cook,Bournemouth
Lewis Dobbin,Aston Villa
Lewis Miley,Newcastle
Lewis O'Brien,Nott'm Forest
Lewis Orford,West Ham
Loum Tchaouna,Burnley
Luca Koleosho,Burnley
Lucas Bergvall,Spurs
Lucas Tolentino Coelho de Lima,West Ham
Lucá Williams-Barnett,Spurs
Luis Díaz Marulanda,Liverpool
Luis Guilherme Lira dos Santos,West Ham
Luis Sinisterra Lucumí,Bournemouth
Luke Harris,Fulham
Luke Rawlings,Wolves
Malcolm Ebiowei,Crystal Palace
Malcom DaCosta,Bournemouth
Malick Yalcouyé,Brighton
Manor Solomon,Spurs
Manuel Benson Hedilazio,Burnley
Manuel Ugarte Ribeiro,Man Utd
Marcus Edwards,Burnley
Marcus Rashford,Man Utd
Marcus Tavernier,Bournemouth
Marko Stamenić,Nott'm Forest
Marshall Munetsi,Wolves
Martial Godo,Fulham
Martin Ødegaard,Arsenal
Martín Zubimendi Ibáñez,Arsenal
Mason Mount,Man Utd
Mateo Kovačić,Man City
Mateus Gonçalo Espanha Fernandes,West Ham
Matheus França de Oliveira,Crystal Palace
Matheus Santos Carneiro da Cunha,Man Utd
Mathias Jensen,Brentford
Mathys Tel,Spurs
Mats Wieffer,Brighton
Matt O'Riley,Brighton
Max Dowman,Arsenal
Maxwel Cornet,West Ham
Merlin Röhl,Everton
Mike Trésor Ndayishimiye,Burnley
Mikel Merino Zazón,Arsenal
Mikey Moore,Spurs
Mikkel Damsgaard,Brentford
Milan Aleksić,Sunderland
Mitoma Kaoru,Brighton
Mohamadou Kanté,West Ham
Mohamed Salah,Liverpool
Mohammed Kudus,Spurs
Moisés Caicedo Corozo,Chelsea
Morgan Gibbs-White,Nott'm Forest
Morgan Rogers,Aston Villa
Mykhailo Mudryk,Chelsea
Myles Peart-Harris,Brentford
Naouirou Ahamada,Crystal Palace
Nectarios Triantis,Sunderland
Nehemiah Oriola,Brighton
Nico González Iglesias,Man City
Nicolás Domínguez,Nott'm Forest
Noah Okafor,Leeds
Noah Sadiki,Sunderland
Noni Madueke,Arsenal
Oliver Pimlott,Burnley
Oluwaseun Adewumi,Burnley
Omar Marmoush,Man City
Omari Hutchinson,Nott'm Forest
Oscar Bobb,Man City
Pape Matar Sarr,Spurs
Paris Maghoma,Brentford
Pascal Groß,Brighton
Patrick Roberts,Sunderland
Pedro Lomba Neto,Chelsea
Phil Foden,Man City
Philip Billing,Bournemouth
Pierre Ekwah Elimby,Sunderland
Rayan Cherki,Man City
Reigan Heskey,Man City
Reiss Nelson,Brentford
Remy Rees-Dottin,Bournemouth
Rio Cardines,Crystal Palace
Rio Ngumoha,Liverpool
Rodrigo 'Rodri' Hernandez Cascante,Man City
Rodrigo Bentancur,Spurs
Romain Esse,Crystal Palace
Romain Faivre,Bournemouth
Romaine Mundle,Sunderland
Romelle Donovan,Brentford
Roméo Lavia,Chelsea
Ross Barkley,Aston Villa
Ryan Christie,Bournemouth
Ryan Gravenberch,Liverpool
Ryan McAidoo,Man City
Ryan Sessegnon,Fulham
Ryan Trevitt,Brentford
Ryan Yates,Nott'm Forest
Sam Alabi,Newcastle
Sam Chambers,Leeds
Sam Greenwood,Leeds
Samuel Chukwueze,Fulham
Samuel Iling-Junior,Aston Villa
Sander Berge,Fulham
Sandro Tonali,Newcastle
Saša Lukić,Fulham
Sean Longstaff,Leeds
Seth Ridgeon,Fulham
Seung-Soo Park,Newcastle
Shea Lacey,Man Utd
Simon Adingra,Sunderland
Solly March,Brighton
Son Heung-min,Spurs
Soungoutou Magassa,West Ham
Stefan Bajčetić Maquieira,Liverpool
Sverre Nypan,Man City
Sávio Moreira de Oliveira,Man City
Sékou Koné,Man Utd
Tanaka Ao,Leeds
Tawanda Chirewa,Wolves
Temple Ojinnaka,Wolves
Tijjani Reijnders,Man City
Tim Iroegbunam,Everton
Toby Collyer,Man Utd
Tom Cairney,Fulham
Tom Edozie,Wolves
Tom Watson,Brighton
Tomáš Souček,West Ham
Trey Nyoni,Liverpool
Tyler Adams,Bournemouth
Tyler Dibling,Everton
Tyler Fletcher,Man Utd
Tyler Morton,Liverpool
Tyler Onyango,Everton
Tymur Tutierov,Sunderland
Tyrique George,Chelsea
Vitaly Janelt,Brentford
Wilfried Gnonto,Leeds
Will Hughes,Crystal Palace
Wilson Odobert,Spurs
Xavi Simons,Spurs
Yang Min-hyeok,Spurs
Yankuba Minteh,Brighton
Yasin Ayari,Brighton
Yehor Yarmoliuk,Brentford
Youri Tielemans,Aston Villa
Yunus Emre Konak,Brentford
Yusuf Akhamrich,Spurs
Yves Bissouma,Spurs
Yéremy Pino Santos,Crystal Palace
Zain Silcott-Duberry,Bournemouth
İlkay Gündoğan,Man City
